Neighbors,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Avg F1 Score,Avg Accuracy
1,0.76,0.817,0.885,0.848,0.84,0.725,0.809,0.873,0.656,0.725,0.794,0.804
2,0.767,0.747,0.747,0.767,0.747,0.747,0.747,0.725,0.767,0.767,0.753,0.812
3,0.747,0.68,0.767,0.747,0.703,0.767,0.747,0.747,0.747,0.725,0.738,0.784
4,0.747,0.725,0.767,0.767,0.747,0.767,0.767,0.747,0.747,0.747,0.753,0.812
5,0.747,0.747,0.703,0.747,0.747,0.767,0.747,0.767,0.767,0.747,0.748,0.804
6,0.767,0.767,0.767,0.767,0.767,0.767,0.747,0.767,0.767,0.767,0.765,0.836
7,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.725,0.763,0.832
8,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.84
9,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.84
10,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.84
