n_estimators,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Avg F1 Score,Avg Accuracy
1,0.84,0.76,0.788,0.725,0.848,0.825,0.873,0.873,0.873,0.926,0.833,0.84
50,0.817,0.767,0.817,0.908,0.767,0.767,0.747,0.747,0.788,0.767,0.789,0.836
100,0.747,0.908,0.732,0.848,0.817,0.767,0.767,0.848,0.767,0.848,0.805,0.844
150,0.767,0.848,0.767,0.767,0.767,0.848,0.848,0.747,0.767,0.817,0.794,0.848
200,0.908,0.908,0.848,0.767,0.848,0.848,0.767,0.767,0.767,0.848,0.828,0.872
250,0.848,0.767,0.767,0.848,0.767,0.848,0.848,0.848,0.848,0.848,0.824,0.868
300,0.848,0.848,0.848,0.767,0.767,0.767,0.767,0.747,0.848,0.767,0.797,0.852
350,0.747,0.848,0.767,0.848,0.767,0.767,0.767,0.767,0.767,0.767,0.781,0.844
400,0.848,0.747,0.767,0.767,0.747,0.908,0.767,0.767,0.747,0.767,0.783,0.84
450,0.747,0.848,0.848,0.767,0.767,0.848,0.788,0.848,0.817,0.848,0.813,0.852
500,0.848,0.767,0.848,0.767,0.767,0.767,0.817,0.747,0.725,0.767,0.782,0.836
