n_estimators,max depth,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Avg F1 Score,Avg Accuracy
1,1,0.872,0.48,0.909,0.852,0.836,0.872,0.909,0.786,0.8,0.616,0.793,0.782
1,5,0.818,0.909,0.73,0.754,0.754,0.766,0.852,0.786,0.818,0.73,0.792,0.773
1,10,0.655,0.727,0.818,0.852,0.753,0.818,0.777,0.642,0.721,0.766,0.753,0.741
1,15,0.818,0.8,0.872,0.766,0.951,0.777,0.889,0.818,0.753,0.7,0.814,0.823
1,20,0.786,0.753,0.672,0.786,0.753,0.8,0.721,0.909,0.727,0.801,0.771,0.768
1,25,0.881,0.606,0.753,0.852,0.754,0.753,0.672,0.727,0.753,0.818,0.757,0.75
1,30,0.951,0.777,0.872,0.852,0.881,0.777,0.8,0.852,0.688,0.909,0.836,0.845
1,35,0.818,0.818,0.727,0.852,0.909,0.672,0.7,0.957,0.727,0.688,0.787,0.777
1,40,0.653,0.777,0.836,0.754,0.951,0.754,0.818,0.818,0.777,0.7,0.784,0.777
1,45,0.872,0.852,0.909,0.951,0.872,0.73,0.872,0.642,0.786,0.642,0.813,0.795
1,50,0.872,0.852,0.688,0.918,0.7,0.909,0.852,0.818,0.754,0.852,0.821,0.814
50,1,0.642,0.836,0.777,0.7,0.889,0.818,0.909,0.852,0.754,0.818,0.799,0.795
50,5,0.8,0.889,0.889,0.8,0.889,0.889,0.8,0.8,0.889,0.889,0.853,0.891
50,10,0.889,0.777,0.889,0.8,0.8,0.889,0.889,0.8,0.889,0.8,0.842,0.882
50,15,0.8,0.8,0.852,0.777,0.8,0.889,0.889,0.8,0.852,0.951,0.841,0.877
50,20,0.889,0.951,0.8,0.8,0.889,0.889,0.8,0.8,0.777,0.8,0.84,0.882
50,25,0.8,0.8,0.8,0.8,0.889,0.889,0.8,0.8,0.8,0.8,0.818,0.873
50,30,0.8,0.889,0.889,0.889,0.889,0.8,0.8,0.818,0.889,0.8,0.846,0.882
50,35,0.889,0.889,0.889,0.8,0.777,0.889,0.889,0.777,0.8,0.8,0.84,0.877
