C,gamma,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Avg F1 Score,Avg Accuracy
0.1,0.01,0.809,0.846,0.793,0.809,0.746,0.793,0.673,0.793,0.77,0.835,0.787,0.772
0.1,0.1,0.862,0.868,0.819,0.868,0.798,0.868,0.798,0.868,0.901,0.835,0.849,0.869
0.1,1,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.862
0.1,10,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.862
0.1,100,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.862
1,0.01,0.744,0.842,0.862,0.835,0.842,0.931,0.901,0.89,0.793,0.784,0.842,0.845
1,0.1,0.873,0.842,0.862,0.835,0.781,0.907,0.817,0.921,0.793,0.817,0.845,0.852
1,1,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.862
1,10,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.862
1,100,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.862
10,0.01,0.621,0.737,0.647,0.758,0.809,0.793,0.678,0.784,0.737,0.698,0.726,0.686
10,0.1,0.763,0.798,0.842,0.781,0.842,0.842,0.868,0.724,0.862,0.842,0.816,0.841
10,1,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.862
10,10,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.862
10,100,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.862
100,0.01,0.873,0.819,0.724,0.763,0.763,0.758,0.823,0.862,0.862,0.737,0.798,0.79
100,0.1,0.921,0.798,0.89,0.798,0.868,0.862,0.798,0.817,0.835,0.798,0.839,0.869
100,1,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.862
100,10,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.862
100,100,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.862
1000,0.01,0.835,0.89,0.842,0.704,0.798,0.901,0.907,0.744,0.873,0.77,0.826,0.831
1000,0.1,0.921,0.89,0.89,0.817,0.781,0.868,0.89,0.868,0.921,0.817,0.866,0.883
1000,1,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.862
1000,10,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.862
1000,100,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.862
